id,interest_area,major,short_description,career_paths,prerequisites
416,Computers and Data Science,Cybersecurity,"Cybersecurity is an academic major focused on protecting computer systems, networks, and data from digital attacks, unauthorized access, and damage. This field blends principles from computer science, engineering, and ethical hacking to safeguard information and infrastructure in the digital age.","Information Security Analyst, Cybersecurity Consultant, Penetration Tester, Security Architect, Network Security Engineer, Forensic Computer Analyst, Chief Information Security Officer, Cybersecurity Sales Engineer","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
417,Computers and Data Science,Information Systems,"Information Systems is a major that blends business and technology, focusing on the integration, design, and management of complex systems and data to improve and streamline organizational processes. This field emphasizes the strategic role of information and technology in business operations and decision making.","Business Analyst, Systems Analyst, Information Systems Manager, Database Administrator, IT Consultant, Network Administrator, Data Analyst, Cybersecurity Analyst","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Business Management HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Business Studies""]}"
418,Computers and Data Science,Human-Computer Interaction,"Human-Computer Interaction (HCI) is an interdisciplinary field that focuses on the design and use of computer technology, emphasizing the interfaces between people (users) and computers. The major combines elements of computer science, behavioral sciences, design, and engineering to enhance user experience and interaction with technology.","User Experience (UX) Designer, Interaction Designer, Usability Analyst, User Interface (UI) Designer, Product Manager, UX Researcher, Accessibility Specialist, HCI Consultant","{""IB"":[""IB Computer Science HL"",""IB Design Technology HL"",""IB Psychology HL"",""IB Mathematics HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Design and Technology"",""A-Level Psychology"",""A-Level Mathematics""],""AP"":[""AP Computer Science A"",""AP Psychology"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Digital Design"",""MYP Mathematics"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Computer Science"",""GCSE Design and Technology"",""GCSE Mathematics"",""GCSE Psychology""],""CBSE"":[""CBSE Computer Science"",""CBSE Psychology"",""CBSE Mathematics"",""CBSE Information Practices""]}"
419,Computers and Data Science,Computer Programming,"Computer Programming is a major focused on the development and implementation of software and systems through the writing, testing, and maintaining of code that enables computer applications and software programs to function efficiently. This field combines elements of computer science, mathematics, and logic to solve real-world problems.","Software Developer, Systems Analyst, Web Developer, Database Administrator, Mobile App Developer, DevOps Engineer, Quality Assurance Analyst, Game Developer","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Calculus BC"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
420,Computers and Data Science,Game Development,"Game Development is a specialized field focusing on the creation and design of interactive digital games. The major combines elements of computer science, graphic design, and storytelling to equip students with the skills necessary to build engaging and immersive gaming experiences.","Game Designer, Software Developer, Game Programmer, Quality Assurance Tester, Level Designer, Audio Engineer, Technical Artist, User Interface Designer","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Visual Arts HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Physics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Studio Art: 2-D Design""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Arts""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Art and Design""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
421,Computers and Data Science,Web Development,"Web Development is a specialized field within Computing that focuses on building and maintaining websites and web applications. It combines aspects of programming, graphic design, and user experience to create functional and aesthetically pleasing online platforms.","Web Developer, Front-end Developer, Back-end Developer, Full-stack Developer, Web Designer, User Experience (UX) Designer, User Interface (UI) Designer, SEO Specialist","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Digital Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Art and Design""],""CBSE"":[""CBSE Computer Science"",""CBSE Informatics Practices"",""CBSE Mathematics""]}"
422,Computers and Data Science,Network Administration,"Network Administration is a major that focuses on the design, implementation, and management of interconnected computer systems and networks essential for modern businesses and organizations. Students learn the technical skills and theoretical knowledge necessary to maintain both hardware and software networking solutions.","Network Administrator, Systems Administrator, IT Manager, Network Architect, Network Engineer, Security Specialist, Data Center Manager, Technical Support Specialist","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Computing"",""A-Level Mathematics"",""A-Level Physics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Physics 1""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
423,Computers and Data Science,Cloud Computing,"The major in Cloud Computing equips students with the skills to design, maintain, and operate scalable and secure cloud infrastructures. It combines elements from computer science, network technology, and information security to prepare graduates for the evolving IT landscape.","Cloud Solutions Architect, Cloud Security Engineer, DevOps Engineer, Systems Administrator, Network Engineer, Cloud Sales and Purchase Manager, Data Center Manager, Technical Support Engineer.","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics HL""],""A-Levels"":[""A-Level Computing"",""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics"",""AP Physics C: Mechanics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
424,Computers and Data Science,Machine Learning Engineering,"Machine Learning Engineering is a specialized field within computer science that focuses on designing and developing algorithms and models that enable computers to learn and make decisions from data without explicit programming. This major combines elements of computer science, artificial intelligence, statistics, and data analysis to prepare students for innovating across multiple sectors.","Machine Learning Engineer, Data Scientist, Artificial Intelligence Engineer, Software Developer, Research Scientist, Robotics Engineer, Systems Analyst, Quantitative Analyst","{""IB"":[""IB Mathematics HL"",""IB Computer Science HL"",""IB Physics HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Computer Science"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Computer Science A"",""AP Statistics"",""AP Physics C: Mechanics""],""MYP"":[""MYP Mathematics"",""MYP Design"",""MYP Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Computer Science"",""GCSE Physics""],""CBSE"":[""CBSE Mathematics"",""CBSE Computer Science"",""CBSE Physics""]}"
425,Computers and Data Science,Computer Graphics,"Computer Graphics is a specialized field within computer science that focuses on the creation and manipulation of visual and geometric information using computational techniques. The major combines principles from mathematics, computer science, and art to develop skills in 3D modeling, animation, and visual effects.","3D Modeler, Game Developer, Visual Effects Artist, Graphic Designer, Animation Director, User Interface (UI) Designer, Multimedia Programmer, AR/VR Developer","{""IB"":[""IB Visual Arts HL"",""IB Computer Science HL"",""IB Mathematics AI HL"",""IB Physics SL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Art and Design"",""A-Level Computer Science""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Studio Art: 2-D Design"",""AP Physics 1""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Mathematics"",""MYP Technology""],""GCSE"":[""GCSE Art and Design"",""GCSE Mathematics"",""GCSE Computer Science"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Multimedia and Web Technology"",""CBSE Mathematics"",""CBSE Physics""]}"
426,Computers and Data Science,Data Engineering,"Data Engineering is a specialized major focused on the methods and technology used to collect, manage, process, and convert raw data into usable information for analysis and insights. This major combines aspects of computer science, applied mathematics, and statistical methods to prepare students for handling large-scale data environments.","Data Engineer, Database Administrator, Data Architect, Data Analyst, Machine Learning Engineer, Big Data Engineer, Business Intelligence Developer, Systems Engineer","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Computer Science A"",""AP Calculus BC"",""AP Statistics"",""AP Physics C: Mechanics""],""MYP"":[""MYP Design"",""MYP Mathematics Extended""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
427,Computers and Data Science,Quantum Computing,"Quantum Computing is a field that intersects computer science, physics, and mathematics to develop and utilize quantum-mechanical phenomena such as superposition and entanglement for processing information. This major provides students with a deep understanding of quantum algorithms, quantum mechanics, and their applications in solving complex computational problems.","Quantum algorithm developer, Quantum software engineer, Quantum researcher, Data scientist specializing in quantum computing, Quantum hardware engineer, Cryptographer focusing on quantum cryptography, Quantum computing consultant, Academic researcher in quantum sciences","{""IB"":[""IB Mathematics HL"",""IB Physics HL"",""IB Computer Science HL""],""A-Levels"":[""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Calculus BC"",""AP Physics C: Mechanics"",""AP Computer Science A""],""MYP"":[""MYP Extended Mathematics"",""MYP Physical and Earth Sciences""],""GCSE"":[""GCSE Mathematics"",""GCSE Physics"",""GCSE Computer Science""],""CBSE"":[""CBSE Mathematics"",""CBSE Physics"",""CBSE Computer Science""]}"
428,Computers and Data Science,Computer Systems Analysis,"Computer Systems Analysis is a major that focuses on the design and evaluation of computer systems, emphasizing the integration of software and hardware with business and organizational needs. Students learn to analyze user requirements, develop appropriate system functionalities, and ensure efficient and effective operations through technological applications.","Systems Analyst, IT Consultant, Data Analyst, Network Administrator, Business Analyst, Software Developer, Project Manager, Quality Assurance Analyst","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Mathematics""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics""]}"
429,Computers and Data Science,Digital Forensics,"Digital Forensics is a specialized field within cybersecurity focusing on the recovery and investigation of material found in digital devices, often related to computer crime. The major equips students with the skills to analyze data, understand legal issues, and apply forensic tools and methodologies to solve problems.","Cybersecurity Analyst, Digital Forensics Investigator, Information Security Officer, Forensic Computer Analyst, Incident Response Analyst, Law Enforcement Officer, Network Security Specialist, Compliance and Enforcement Officer","{""IB"":[""IB Computer Science HL"",""IB Mathematics HL"",""IB Physics SL"",""IB Information Technology in a Global Society HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Mathematics"",""A-Level Further Mathematics"",""A-Level Physics""],""AP"":[""AP Computer Science A"",""AP Calculus AB"",""AP Statistics"",""AP Physics C: Mechanics""],""MYP"":[""MYP Design"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Computer Science"",""GCSE Mathematics"",""GCSE Physics""],""CBSE"":[""CBSE Computer Science"",""CBSE Mathematics"",""CBSE Physics""]}"
430,Computers and Data Science,Bioinformatics,"Bioinformatics is an interdisciplinary field that combines biology, computer science, and information technology to analyze and interpret biological data. It involves the development and application of computational tools and techniques to capture and analyze complex biological data, such as genetic sequences.","Bioinformatics scientist, Computational biologist, Genomics analyst, Bioinformatics software developer, Systems biologist, Clinical research associate, Data scientist in biotechnology, Bioinformatics consultant","{""IB"":[""IB Biology HL"",""IB Computer Science HL"",""IB Mathematics HL"",""IB Chemistry SL""],""A-Levels"":[""A-Level Biology"",""A-Level Mathematics"",""A-Level Computer Science"",""A-Level Chemistry""],""AP"":[""AP Biology"",""AP Computer Science A"",""AP Calculus AB"",""AP Statistics""],""MYP"":[""MYP Sciences"",""MYP Mathematics"",""MYP Design""],""GCSE"":[""GCSE Biology"",""GCSE Mathematics"",""GCSE Computer Science""],""CBSE"":[""CBSE Biology"",""CBSE Mathematics"",""CBSE Informatics Practices"",""CBSE Physical Education (for well-rounded development)""]}"
431,Design,Graphic Design,"Graphic Design is a dynamic and creative major focused on visual communication and presentation, utilizing skills in art, technology, and media to convey messages effectively. Students in this field learn to create graphic content for print, digital media, branding, advertising, and multimedia applications.","Graphic designer, Art director, Brand identity designer, UI/UX designer, Web designer, Multimedia artist, Packaging designer, Creative director","{""IB"":[""IB Visual Arts HL"",""IB Design Technology SL"",""IB Information Technology in a Global Society HL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Graphic Communication"",""A-Level Media Studies""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: Drawing"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Technology""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Information and Communication Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Graphics"",""CBSE Multimedia and Web Technology""]}"
432,Design,Industrial Design,"Industrial Design focuses on the creation and development of products used by consumers, combining art, business, and engineering to craft products that are both functional and aesthetically pleasing. The major emphasizes problem-solving, user experience, and material sustainability, preparing students to design products that enhance daily life.","Product Designer, Industrial Design Researcher, User Experience (UX) Designer, Automotive Designer, Furniture Designer, Toy Designer, Packaging Designer, Exhibit Designer","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB Business Management HL"",""IB Mathematics SL"",""IB Physics SL""],""A-Levels"":[""A-Level Design and Technology"",""A-Level Art and Design"",""A-Level Mathematics"",""A-Level Physics"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 3-D Design"",""AP Calculus AB"",""AP Physics 1"",""AP Psychology"",""AP Statistics""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Mathematics"",""MYP Sciences""],""GCSE"":[""GCSE Design and Technology"",""GCSE Art and Design"",""GCSE Mathematics"",""GCSE Physics"",""GCSE Business Studies""],""CBSE"":[""CBSE Fine Arts"",""CBSE Physical Education"",""CBSE Mathematics"",""CBSE Physics"",""CBSE Business Studies""]}"
433,Design,Fashion Design,"Fashion Design is a creative major that focuses on the art of designing clothing and accessories. This field combines artistic skills with practical implementation, often including technology and innovative materials in the design process.","Fashion Designer, Textile Designer, Fashion Stylist, Visual Merchandiser, Fashion Buyer, Costume Designer, Fashion Illustrator, Creative Director","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB Business Management HL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Textiles"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Art History""],""MYP"":[""MYP Design"",""MYP Visual Art""],""GCSE"":[""GCSE Art and Design"",""GCSE Textiles Technology"",""GCSE Business Studies""],""CBSE"":[""CBSE Fine Arts"",""CBSE Home Science"",""CBSE Economics""]}"
434,Design,Interior Design,"Interior Design is a creative and technical major focusing on the optimization of interior spaces to improve functionality and aesthetics. Students learn to plan, design, and manage spaces considering both style and efficiency.","Interior Designer, Space Planner, Visual Merchandiser, Exhibition Designer, Furniture Designer, Lighting Designer, Set Designer, Design Consultant","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB Mathematics SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Design and Technology"",""A-Level Mathematics""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Art History""],""MYP"":[""MYP Design"",""MYP Visual Art""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Home Science"",""CBSE Mathematics""]}"
435,Design,Product Design,"Product Design is a creative field focused on the process of designing and creating functional and aesthetic products that meet specific consumer needs. This major combines elements of art, science, and technology to innovate and improve upon existing products or to create entirely new ones.","Industrial Designer, Product Manager, UX/UI Designer, Furniture Designer, Packaging Designer, Design Consultant, Prototype Developer, 3D Modeler","{""IB"":[""IB Design Technology HL"",""IB Visual Arts HL"",""IB Physics SL"",""IB Business Management HL""],""A-Levels"":[""A-Level Design and Technology"",""A-Level Art and Design"",""A-Level Physics"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 3D Design"",""AP Physics 1"",""AP Calculus AB"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Sciences"",""MYP Mathematics""],""GCSE"":[""GCSE Design and Technology"",""GCSE Art and Design"",""GCSE Physics"",""GCSE Mathematics""],""CBSE"":[""CBSE Fine Arts"",""CBSE Physics"",""CBSE Mathematics"",""CBSE Business Studies""]}"
436,Design,UX/UI Design,"UX/UI Design is a specialized field that focuses on enhancing user satisfaction and accessibility while interacting with products, primarily digital interfaces. This major combines principles of design, psychology, and technology to create intuitive and aesthetically pleasing digital experiences.","User Experience Designer, User Interface Designer, Interaction Designer, Product Designer, Visual Designer, Usability Analyst, Information Architect, UX Researcher","{""IB"":[""IB Visual Arts HL"",""IB Information Technology in a Global Society HL"",""IB Design Technology HL"",""IB Psychology SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Graphic Communication"",""A-Level Computer Science"",""A-Level Psychology""],""AP"":[""AP Studio Art: 2-D Design"",""AP Psychology"",""AP Computer Science A""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Digital Design""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Computer Science""],""CBSE"":[""CBSE Fine Arts"",""CBSE Information Technology"",""CBSE Psychology""]}"
437,Design,Web Design,"Web Design is a dynamic and creative major focused on the design and maintenance of websites, integrating both technical skills and artistic development. Students learn to create accessible and responsive designs, understand user experience, and manage various web technologies.","Web Designer, User Interface Designer, User Experience Designer, Front-end Developer, Digital Media Specialist, Web Content Manager, SEO Specialist","{""IB"":[""IB Visual Arts"",""IB Computer Science"",""IB Information Technology in a Global Society"",""IB Design Technology""],""A-Levels"":[""A-Level Art and Design"",""A-Level Computer Science"",""A-Level Graphic Communication""],""AP"":[""AP Computer Science A"",""AP Studio Art: 2-D Design"",""AP Art History""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Digital Design""],""GCSE"":[""GCSE Art and Design"",""GCSE Computer Science"",""GCSE Design and Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Information Technology"",""CBSE Multimedia and Web Technology""]}"
438,Design,Animation Design,"Animation Design is a major focused on the art and technique of creating images and scenes in motion, often for media such as films, games, and online content. This field combines creative visual storytelling with technical skills in computer graphics and digital tools.","Animator, Visual Effects Artist, Game Designer, Character Designer, Motion Graphics Designer, 3D Modeler, Concept Artist, Digital Painter","{""IB"":[""IB Visual Arts HL"",""IB Film Studies SL"",""IB Computer Science SL"",""IB Design Technology SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Media Studies"",""A-Level Computer Science"",""A-Level Graphic Communication""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Computer Science A"",""AP Art History""],""MYP"":[""MYP Visual Art"",""MYP Design"",""MYP Integrated Humanities"",""MYP Digital Design""],""GCSE"":[""GCSE Art and Design"",""GCSE Media Studies"",""GCSE Computer Science"",""GCSE Design and Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Graphics"",""CBSE Multimedia and Web Technology"",""CBSE Computer Science""]}"
439,Design,Visual Communication,"Visual Communication is a creative field that focuses on the use of visual elements to convey messages and information effectively across various media platforms. This major integrates principles of design, art, and communication techniques to prepare students for diverse visual and digital media environments.","Graphic designer, Art director, User experience (UX) designer, Web designer, Multimedia artist, Brand identity developer, Visual content specialist, Advertising creative","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB Business Management HL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Graphic Communication"",""A-Level Media Studies"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: Drawing"",""AP Computer Science A"",""AP Psychology""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Technology"",""MYP Individuals and Societies""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Media Studies"",""GCSE Information and Communication Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Graphics"",""CBSE Multimedia and Web Technology"",""CBSE Business Studies""]}"
440,Design,Textile Design,"Textile Design is a specialized field focusing on the creation and functional design of various types of fabrics used in fashion, interiors, and industrial applications. The major combines artistic vision with technical skills, including knowledge of fibers, weaves, and the use of digital design tools.","Fashion Designer, Textile Designer, Interior Designer, Product Developer, Color Technologist, Fabric Buyer, Trend Forecaster, Quality Control Specialist","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB Business Management SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Design and Technology"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 2-D Design"",""AP Art History"",""AP Environmental Science""],""MYP"":[""MYP Design"",""MYP Visual Art""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Business Studies""],""CBSE"":[""CBSE Fine Arts"",""CBSE Home Science"",""CBSE Business Studies""]}"
441,Design,Interaction Design,"Interaction Design focuses on creating engaging interfaces with well-thought-out behaviors. Understanding how users interact with technology, students learn to design experiences across different devices and platforms.","User Experience (UX) Designer, User Interface (UI) Designer, Interaction Designer, Product Designer, Usability Analyst, Web Designer, Mobile App Designer, Human-Computer Interaction Researcher","{""IB"":[""IB Visual Arts HL"",""IB Computer Science HL"",""IB Design Technology HL"",""IB Information Technology in a Global Society SL""],""A-Levels"":[""A-Level Design and Technology"",""A-Level Art and Design"",""A-Level Computer Science""],""AP"":[""AP Studio Art: 2-D Design"",""AP Computer Science A"",""AP Psychology""],""MYP"":[""MYP Design"",""MYP Arts""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Computer Science""],""CBSE"":[""CBSE Fine Arts"",""CBSE Information Practices"",""CBSE Multimedia and Web Technology""]}"
442,Design,Game Design,"Game Design is a specialized field of study focusing on the creation and development of interactive games, encompassing aspects such as storytelling, graphic design, and programming. Students learn to conceptualize, design, and produce digital and analog gaming experiences, using a range of technologies and creative methodologies.","Game Developer, Level Designer, Game Artist, UI/UX Designer, Sound Designer, Quality Assurance Tester, Game Writer, Game Producer","{""IB"":[""IB Computer Science HL"",""IB Visual Arts HL"",""IB Mathematics AI HL"",""IB Design Technology HL"",""IB Theatre HL""],""A-Levels"":[""A-Level Computer Science"",""A-Level Art and Design"",""A-Level Mathematics"",""A-Level Media Studies"",""A-Level Film Studies""],""AP"":[""AP Computer Science A"",""AP Studio Art: Drawing"",""AP Calculus AB"",""AP Physics C"",""AP Psychology""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Mathematics"",""MYP Technology"",""MYP Digital Design""],""GCSE"":[""GCSE Computer Science"",""GCSE Art and Design"",""GCSE Mathematics"",""GCSE Media Studies"",""GCSE Design and Technology""],""CBSE"":[""CBSE Multimedia and Web Technology"",""CBSE Fine Arts"",""CBSE Mathematics"",""CBSE Informatics Practices"",""CBSE Physics""]}"
443,Design,Design Management,"Design Management is a multidisciplinary field that combines elements of business management, design, and technology to lead and direct the creative process in various industries. This major prepares students to oversee design projects, from conception through implementation, ensuring they meet business objectives and are delivered efficiently.","Design Project Manager, Brand Strategist, Creative Director, User Experience (UX) Designer, Product Development Manager, Marketing Manager, Design Consultant, Innovation Manager","{""IB"":[""IB Visual Arts HL"",""IB Business Management HL"",""IB Design Technology HL"",""IB Economics SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Business Studies"",""A-Level Graphic Communication"",""A-Level Economics""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Art History"",""AP Microeconomics""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Individuals and Societies"",""MYP Mathematics""],""GCSE"":[""GCSE Art and Design"",""GCSE Business Studies"",""GCSE Design and Technology"",""GCSE Mathematics""],""CBSE"":[""CBSE Fine Arts"",""CBSE Business Studies"",""CBSE Economics"",""CBSE Mathematics""]}"
444,Design,Jewelry Design,"Jewelry Design is a creative and technical major focusing on the art of designing and creating jewelry. This field combines aesthetics with material science, allowing students to explore various techniques and materials used in the production of wearable art.","Jewelry Designer, Gemologist, Product Developer, Jewelry Store Manager, CAD Jewelry Designer, Precious Stone Setter, Quality Control Specialist, Sales Consultant","{""IB"":[""IB Visual Arts HL"",""IB Design Technology SL"",""IB Business Management SL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Design and Technology"",""A-Level Business Studies""],""AP"":[""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Art History""],""MYP"":[""MYP Design"",""MYP Visual Art""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology""],""CBSE"":[""CBSE Fine Arts"",""CBSE Business Studies""]}"
445,Design,Exhibition Design,"Exhibition Design is a specialized field that focuses on the creation of informative and engaging displays in museums, galleries, trade shows, and public exhibitions. It combines elements of interior design, graphic design, and multimedia to create immersive environments that communicate themes and messages effectively.","Exhibition Designer, Museum Curator, Set Designer, Event Coordinator, Visual Merchandiser, Display Artist, Trade Show Manager, Gallery Director","{""IB"":[""IB Visual Arts HL"",""IB Design Technology HL"",""IB History HL"",""IB Business Management HL""],""A-Levels"":[""A-Level Art and Design"",""A-Level Design and Technology"",""A-Level Business Studies"",""A-Level History""],""AP"":[""AP Art History"",""AP Studio Art: 2-D Design"",""AP Studio Art: 3-D Design"",""AP Psychology""],""MYP"":[""MYP Design"",""MYP Visual Art"",""MYP Individuals and Societies"",""MYP Physical and Health Education""],""GCSE"":[""GCSE Art and Design"",""GCSE Design and Technology"",""GCSE Business Studies"",""GCSE History""],""CBSE"":[""CBSE Fine Arts"",""CBSE Business Studies"",""CBSE History"",""CBSE Physical Education""]}"
